module_code,xbrl_schema_ref,from_date,to_date,version
COVID19_Ind_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrepcovid19/gl-2020-07/2020-06-30/mod/covid19_ind_ifrs.json,30-Jun-20,30-Dec-22,1.0.0
IF_ADHOC,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/if/if-datacollection/2020-07-31/mod/if_adhoc.json,04-Jul-20,29-Sep-21,1.0.0
FINREP9_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-005-2020/2020-11-15/mod/finrep9_con_gaap.json,30-Jun-21,30-Dec-22,3.0.0
FINREP9_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-005-2020/2020-11-15/mod/finrep9_con_ifrs.json,30-Jun-21,30-Dec-22,3.0.0
FINREP9_Ind_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-005-2020-ind/2020-11-15/mod/finrep9_ind_gaap.json,30-Jun-21,30-Dec-22,3.0.0
FINREP9_Ind_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/its-005-2020-ind/2020-11-15/mod/finrep9_ind_ifrs.json,30-Jun-21,30-Dec-22,3.0.0
AE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/ae/its-005-2020/2020-11-15/mod/ae_con.json,30-Jun-21,30-Jun-21,1.1.0
AE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/ae/its-005-2020/2020-11-15/mod/ae_ind.json,30-Jun-21,30-Jun-21,1.1.0
COREP_ALM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_alm_con.json,30-Jun-21,29-Jun-23,3.0.0
COREP_ALM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_alm_ind.json,30-Jun-21,29-Jun-23,3.0.0
COREP_FRTB_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_frtb_con.json,30-Sep-21,30-Dec-22,3.0.0
COREP_FRTB_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_frtb_ind.json,30-Sep-21,30-Dec-22,3.0.0
COREP_LCR_DA_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_lcr_da_con.json,30-Jun-21,30-Dec-22,3.0.0
COREP_LCR_DA_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_lcr_da_ind.json,30-Jun-21,30-Dec-22,3.0.0
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_le_con.json,30-Jun-21,30-Dec-22,3.0.0
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_le_ind.json,30-Jun-21,30-Dec-22,3.0.0
COREP_LR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_lr_con.json,30-Jun-21,30-Dec-22,3.0.0
COREP_LR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_lr_ind.json,30-Jun-21,30-Dec-22,3.0.0
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_nsfr_con.json,30-Jun-21,30-Dec-22,3.0.0
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_nsfr_ind.json,30-Jun-21,30-Dec-22,3.0.0
COREP_OF_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_of_con.json,30-Jun-21,29-Jun-23,3.0.0
COREP_OF_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/its-005-2020/2020-11-15/mod/corep_of_ind.json,30-Jun-21,29-Jun-23,3.0.0
